index,SMILES,RE(eV),HOMO-1(eV),HOMO(eV),LUMO(eV),LUMO+1(eV),E_0(hartree),E_0^-(hartree),E-(hartree),E_-^0(hartree),D_0 dipole moment(D),D_0^- dipole moment(D),D- dipole moment(D),D_-^0 dipole moment(D)
82,c1cnc(-c2cnc(-c3nccc(C4COc5cscc5S4)n3)nc2)nc1,0.661527842,-6.098343716,-5.894258321,-2.5385502,-1.936362228,-1893.173326,-1893.210729,-1893.222104,-1893.16039,3.9006,6.8887,5.4049,3.8541
85,Cc1nc2c(-c3cnc(-c4nc5ccccc5s4)nc3)sc(-c3cnc(-c4nc5ccccc5s4)nc3)c2nc1C,0.422402345,-6.595767853,-6.012899964,-3.296931528,-2.265075771,-2786.552389,-2786.63186,-2786.636339,-2786.541345,2.2286,1.4464,1.2801,2.0957
86,N#Cc1sc(-c2sc(-c3sc(C#N)c(C(F)(F)F)c3C#N)c3c2OCCS3)c(C#N)c1C(F)(F)F,0.69096784,-7.239589245,-7.015911652,-3.605780759,-3.251760627,-3250.535283,-3250.619091,-3250.628422,-3250.519221,2.585,6.4321,6.6656,2.6325
87,N#Cc1ccc2sc(C=Cc3ccnc(C(=O)c4coc(-c5cc6sccc6s5)n4)n3)c(C=Cc3ccnc(C(=O)c4coc(-c5cc6sccc6s5)n4)n3)c2c1,0.68140848,-6.148684781,-5.467583789,-2.981007336,-2.832705283,-4248.621838,-4248.688901,-4248.697782,-4248.605678,10.18,9.2581,9.7747,10.8261
89,O=C(O)c1ccsc1-c1cnc(-c2scc(-c3nccn3C(=O)n3ccnc3)c2C(=O)O)nc1,0.561161366,-6.822982926,-6.407737175,-3.121690202,-2.319226429,-2308.469929,-2308.534801,-2308.541138,-2308.455645,9.5931,3.998,2.4752,9.509
90,N#Cc1sc(-c2nc3sccc3s2)c(C#N)c1C(=O)c1c(C#N)sc(-c2nc3sccc3s2)c1C#N,0.286277386,-6.778356253,-6.748423728,-3.464825779,-3.41693374,-3671.572436,-3671.650318,-3671.651225,-3671.562822,10.5245,16.0591,15.7144,9.449
93,c1ncc(-c2sc(-c3cncnn3)c3c2SCCS3)nn1,0.429733092,-6.413995794,-6.40175067,-2.867263743,-2.456643928,-1985.026167,-1985.075982,-1985.080739,-1985.015132,6.5828,10.6093,11.1846,7.0279
96,O=C(O)c1scc(-c2nc(F)c(-c3csc(C(=O)O)c3C(=O)O)c3nsnc23)c1C(=O)O,0.494234962,-7.560955714,-6.740260312,-3.618297996,-2.456371814,-2711.940201,-2712.020492,-2712.023792,-2711.925339,1.7586,6.7166,5.5762,2.7799
97,CN1C(=O)C2=C(C(F)(F)F)N(C)C(=O)C2=C1C=C1c2ccccc2N(C)C2C(=C(C#N)C#N)c3ccccc3N(C)C12,0.45235936,-6.128820469,-5.888271817,-3.376933003,-2.796242025,-1973.546709,-1973.628232,-1973.631483,-1973.533336,9.1833,13.1589,13.5578,10.6533
98,O=c1ccccn1-c1c(F)nc(-c2cnc(-c3nc(F)c(-n4ccccc4=O)c4nsnc34)nn2)c2nsnc12,0.472762457,-6.497806863,-6.390866116,-3.901568525,-3.526595626,-2630.527843,-2630.621396,-2630.624988,-2630.514061,4.4687,3.0624,1.3041,1.7869
99,Cn1c(-c2cnc(-c3nc(F)c(-c4ncc(-c5nc(C#N)c(C#N)n5C)nn4)c4nsnc34)nn2)nc(C#N)c1C#N,0.622289023,-7.634154342,-7.476600417,-4.118171157,-3.333939013,-2309.867951,-2309.970268,-2309.978418,-2309.853232,6.6939,7.0321,7.3169,7.4638
100,O=C(c1ccc(-c2c(F)ccc3nsnc23)s1)c1cocc1C(F)(F)F,0.387805789,-7.406122928,-6.548964269,-3.289584454,-2.417731646,-2068.995684,-2069.061776,-2069.062247,-2068.981904,6.0218,9.4969,8.3515,6.7771
